timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Sigmoid X+Y,Raw 2,Radial Complete,Conic
1779803533.790108916,1779802952.058984995,10,8,LeftHybridRe,Bias,71.03065541820611,79.46950799205082,79.46950799205082,81.66427152599908,79.46950799205082,79.46950799205082,71.03065541820611,79.46950799205082,79.46950799205082
1779803537.225636756,1779802955.437149048,11,10,A,Radial Concentric,8.759012493569097,12.658516028673834,12.658516028673834,11.414457915716584,12.658516028673834,12.658516028673834,8.759012493569097,12.658516028673834,12.658516028673834
1779803538.079276349,1779802956.383016109,12,10,A,Radial Concentric,174.01832973865564,178.28404313823543,178.28404313823543,186.79403111267152,178.28404313823543,178.28404313823543,174.01832973865564,178.28404313823543,178.28404313823543
1779803541.341104211,1779802959.511442900,13,10,UpHybridRe,Radial Concentric,9.808813562860255,5.683677705852771,5.683677705852771,5.183498824767413,5.683677705852771,5.683677705852771,9.808813562860255,5.683677705852771,5.683677705852771
1779803544.778323374,1779802962.979527950,14,10,CloserHybridRe,Radial Concentric,13.974637318454363,9.32254637683075,9.32254637683075,9.965802937200824,9.32254637683075,9.32254637683075,13.974637318454363,9.32254637683075,9.32254637683075
1779803549.203808194,1779802967.397967100,15,10,RightHybridRe,Radial Concentric,16.28726352331788,10.548145025618217,10.548145025618217,9.862269823938783,10.548145025618217,10.548145025618217,16.28726352331788,10.548145025618217,10.548145025618217
1779803551.372358794,1779802969.615365028,16,10,LeftHybridRe,Radial Concentric,4.924042226174979,7.151353230262784,7.151353230262784,7.565017726857036,7.151353230262784,7.151353230262784,4.924042226174979,7.151353230262784,7.151353230262784
1779803553.913435057,1779802972.222731113,17,11,DownHybridRe,Radial Concentric,7.439395525077074,6.116376512624754,6.116376512624754,7.5060546252648015,6.116376512624754,6.116376512624754,7.439395525077074,6.116376512624754,6.116376512624754
1779803554.547964631,1779802972.863296986,18,12,DownHybridRe,Raw,50.88171038365155,58.93209038808057,58.93209038808057,64.48877968944484,58.93209038808057,58.93209038808057,50.88171038365155,58.93209038808057,58.93209038808057
1779803555.490108935,1779802973.804163933,19,12,DownHybridRe,Raw,3.8732342877848653,6.385660293954436,6.385660293954436,8.089450092392545,7.088846552629155,7.912277062711118,3.8732342877848653,6.385660293954436,6.385660293954436
1779803556.136204885,1779802974.439785957,20,12,DownHybridRe,Raw,42.952543901969555,50.513301394094796,50.513301394094796,53.48421868182296,52.469035131228296,52.1517369224758,42.952543901969555,50.513301394094796,50.513301394094796
1779803558.167597245,1779802976.486831903,21,12,CloserHybridRe,Raw,14.100247048632736,8.282715837763922,8.282715837763922,8.553022404549147,8.128300296919369,10.645895772436777,14.100247048632736,8.282715837763922,8.282715837763922
1779803561.007641361,1779802979.254318953,22,13,B,Raw,13.755301630668702,10.57689549375041,10.57689549375041,9.008026449040466,10.208809184043941,10.103528237194858,13.755301630668702,10.57689549375041,10.57689549375041
1779803563.817505836,1779802981.981956959,23,13,UpHybridRe,Raw,16.41664973152087,13.236803549003573,13.236803549003573,12.966451333567903,12.77134049620556,13.25936841887266,16.41664973152087,13.236803549003573,13.236803549003573
1779803629.780531177,1779803048.032783031,24,13,UpHybridRe,Sigmoid X+Y,13.519323878722327,7.45052052853249,7.45052052853249,7.402693991170983,6.907549400866538,7.8572901103642865,13.519323878722327,7.45052052853249,7.45052052853249
1779803635.640469696,1779803053.723074913,25,15,CloserHybridRe,Sigmoid X+Y,17.757772962064283,12.959116350124102,12.959116350124102,11.56690161419761,12.775761020313059,14.623485250215198,17.757772962064283,12.959116350124102,12.959116350124102
1779803641.327692932,1779803059.438374996,26,15,RightHybridRe,Sigmoid X+Y,22.88733955203039,15.744480063422273,15.744480063422273,15.359757623597305,16.5492077040903,19.163055347504375,22.88733955203039,15.744480063422273,15.744480063422273
1779803647.452077439,1779803065.534327030,27,17,UpHybridRe,Sigmoid X+Y,24.824303066973577,19.448910667398494,19.448910667398494,19.83198668662726,19.094454841855576,19.049636483323305,24.824303066973577,19.448910667398494,19.448910667398494
