Button ID,x0,y0,x1,y1,Parent ID,xp,yp,zp,q1,q2,q3,q4,Idx,
m,4.08,8.16,-4.08,-8.16,30,24.48,-24.48,0,1,0,0,0,m,
n,4.08,8.16,-4.08,-8.16,30,122.4,-8.16,0,1,0,0,0,n,
o,4.08,8.16,-4.08,-8.16,30,114.24,-8.16,0,1,0,0,0,o,
p,4.08,8.16,-4.08,-8.16,30,106.08,-8.16,0,1,0,0,0,p,
q,4.08,8.16,-4.08,-8.16,30,97.92,-8.16,0,1,0,0,0,q,
r,4.08,8.16,-4.08,-8.16,30,89.76,-8.16,0,1,0,0,0,r,
s,4.08,8.16,-4.08,-8.16,30,81.6,-8.16,0,1,0,0,0,s,
t,4.08,8.16,-4.08,-8.16,30,73.44,-8.16,0,1,0,0,0,t,
u,4.08,8.16,-4.08,-8.16,30,65.28,-8.16,0,1,0,0,0,u,
v,4.08,8.16,-4.08,-8.16,30,57.12,-8.16,0,1,0,0,0,v,
w,4.08,8.16,-4.08,-8.16,30,48.96,-8.16,0,1,0,0,0,w,
x,4.08,8.16,-4.08,-8.16,30,40.8,-8.16,0,1,0,0,0,x,
y,4.08,8.16,-4.08,-8.16,30,32.64,-8.16,0,1,0,0,0,y,
z,4.08,8.16,-4.08,-8.16,30,24.48,-8.16,0,1,0,0,0,z,
del,6.12,6.12,-6.12,-6.12,30,10.2,-26.52,0,1,0,0,0,delete,
refresh,6.12,6.12,-6.12,-6.12,30,132.6,-26.52,0,1,0,0,0,refresh,
space,12.24,6.12,-12.24,-6.12,30,65.28,6.12,0,1,0,0,0,space,
S1Y_+1,22,36,-22,-36,72,0,-47,0,1,0,0,0,UpCondensed,S1Y_+1
S1Y_-1,22,36,-22,-36,72,0,47,0,1,0,0,0,DownCondensed,S1Y_-1
S1X_-1,30,22,-22,-30,72,-47,0,0,1,0,0,0,LeftCondensed,S1X_-1
S1X_+1,22,30,-30,-22,72,47,0,0,1,0,0,0,RightCondensed,S1X_+1
TR,22,20,-30,-36,72,47,47,0,1,0,0,0,CloserCondensed,
TL,30,36,-22,-20,72,-47,-47,0,1,0,0,0,FartherCondensed,
