timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Sigmoid X+Y,Radial Complete,Conic
1779376838.961208662,1779376321.189696074,103,4,UpHybridRe,Bias,14.183709885711178,6.303809738361368,6.303809738361368,6.303809738361368,6.303809738361368,6.303809738361368,6.303809738361368,6.303809738361368
1779376839.721338054,1779376321.980439901,104,4,UpHybridRe,Bias,14.175190930353724,6.304328989700079,6.304328989700079,6.304328989700079,6.304328989700079,6.304328989700079,6.304328989700079,6.304328989700079
1779376840.298593411,1779376322.550940037,105,4,UpHybridRe,Bias,14.17394381112084,6.303811307072765,6.303811307072765,6.303811307072765,6.303811307072765,6.303811307072765,6.303811307072765,6.303811307072765
1779376840.922867703,1779376323.156450987,106,4,UpHybridRe,Bias,14.168618710430106,6.308882579725048,6.308882579725048,6.308882579725048,6.308882579725048,6.308882579725048,6.308882579725048,6.308882579725048
1779376842.004551945,1779376324.237895012,107,4,UpHybridRe,Bias,14.135636439691641,6.287467660509626,6.287467660509626,6.287467660509626,6.287467660509626,6.287467660509626,6.287467660509626,6.287467660509626
1779376843.391935239,1779376325.629272938,108,4,UpHybridRe,Bias,14.133138448044111,6.2924937557981035,6.2924937557981035,6.2924937557981035,6.2924937557981035,6.2924937557981035,6.2924937557981035,6.2924937557981035
1779376844.709299727,1779376326.905395985,109,4,UpHybridRe,Bias,14.127412533698859,6.285797335293341,6.285797335293341,6.285797335293341,6.285797335293341,6.285797335293341,6.285797335293341,6.285797335293341
1779376845.162298218,1779376327.430078983,110,4,UpHybridRe,Bias,14.129912932737643,6.285068687731876,6.285068687731876,6.285068687731876,6.285068687731876,6.285068687731876,6.285068687731876,6.285068687731876
1779376845.826480962,1779376328.065701962,111,4,UpHybridRe,Bias,14.123337647510791,6.28837204761978,6.28837204761978,6.28837204761978,6.28837204761978,6.28837204761978,6.28837204761978,6.28837204761978
1779376847.148369260,1779376329.331835032,112,4,UpHybridRe,Bias,14.126152274691364,6.292190034973904,6.292190034973904,6.292190034973904,6.292190034973904,6.292190034973904,6.292190034973904,6.292190034973904
1779376847.824012238,1779376330.082468033,113,4,UpHybridRe,Bias,14.13820079539491,6.2971442067468075,6.2971442067468075,6.2971442067468075,6.2971442067468075,6.2971442067468075,6.2971442067468075,6.2971442067468075
1779376848.916962552,1779376331.059365988,114,4,UpHybridRe,Bias,14.142030192511081,6.301637661358882,6.301637661358882,6.301637661358882,6.301637661358882,6.301637661358882,6.301637661358882,6.301637661358882
1779376850.557474952,1779376332.795866013,115,4,UpHybridRe,Bias,14.15440597955845,6.3051258480924925,6.3051258480924925,6.3051258480924925,6.3051258480924925,6.3051258480924925,6.3051258480924925,6.3051258480924925
1779376851.827238405,1779376334.086488962,116,4,UpHybridRe,Bias,14.161517846910817,6.302096258806291,6.302096258806291,6.302096258806291,6.302096258806291,6.302096258806291,6.302096258806291,6.302096258806291
1779376852.415288330,1779376334.666977882,117,4,UpHybridRe,Bias,14.157252327340963,6.299290331828081,6.299290331828081,6.299290331828081,6.299290331828081,6.299290331828081,6.299290331828081,6.299290331828081
1779376852.771033812,1779376335.027354956,118,4,UpHybridRe,Bias,14.161600529043902,6.305342397901288,6.305342397901288,6.305342397901288,6.305342397901288,6.305342397901288,6.305342397901288,6.305342397901288
1779376853.951907312,1779376336.188354969,119,4,UpHybridRe,Bias,14.161351052868921,6.316790479747461,6.316790479747461,6.316790479747461,6.316790479747461,6.316790479747461,6.316790479747461,6.316790479747461
1779376854.436583546,1779376336.649136066,120,4,UpHybridRe,Bias,14.138921212101279,6.314367625471122,6.314367625471122,6.314367625471122,6.314367625471122,6.314367625471122,6.314367625471122,6.314367625471122
1779376855.109136080,1779376337.364758015,121,4,UpHybridRe,Bias,14.151975845111288,6.327807243410203,6.327807243410203,6.327807243410203,6.327807243410203,6.327807243410203,6.327807243410203,6.327807243410203
