Button ID,x0,y0,x1,y1,Parent ID,xp,yp,zp,q1,q2,q3,q4,X,
-11,16,40,-16,-40,210,-7,-108,-5,1,0,0,0,1,C3#
-9,16,40,-16,-40,210,-36,-108,-5,1,0,0,0,1,D3#
-6,16,40,-16,-40,210,-94,-108,-5,1,0,0,0,1,F3#
-4,16,40,-16,-40,210,-123,-108,-5,1,0,0,0,1,G3#
-2,16,40,-16,-40,210,-152,-108,-5,1,0,0,0,1,A3#
1,16,40,-16,-40,210,-210,-108,-5,1,0,0,0,1,C4#
3,16,40,-16,-40,210,-239,-108,-5,1,0,0,0,1,D4#
6,16,40,-16,-40,210,-297,-108,-5,1,0,0,0,1,F4#
8,16,40,-16,-40,210,-326,-108,-5,1,0,0,0,1,G4#
10,16,40,-16,-40,210,-355,-108,-5,1,0,0,0,1,A4#
-11,16,40,-16,-40,208,174,69,-5,1,0,0,0,1,C3#
-9,16,40,-16,-40,208,145,69,-5,1,0,0,0,1,D3#
-6,16,40,-16,-40,208,87,69,-5,1,0,0,0,1,F3#
-4,16,40,-16,-40,208,58,69,-5,1,0,0,0,1,G3#
-2,16,40,-16,-40,208,29,69,-5,1,0,0,0,1,A3#
1,16,40,-16,-40,208,-29,69,-5,1,0,0,0,1,C4#
3,16,40,-16,-40,208,-58,69,-5,1,0,0,0,1,D4#
6,16,40,-16,-40,208,-116,69,-5,1,0,0,0,1,F4#
8,16,40,-16,-40,208,-145,69,-5,1,0,0,0,1,G4#
10,16,40,-16,-40,208,-174,69,-5,1,0,0,0,1,A4#
-11,16,40,-16,-40,207,174,-108,-5,1,0,0,0,1,C3#
-9,16,40,-16,-40,207,145,-108,-5,1,0,0,0,1,D3#
-6,16,40,-16,-40,207,87,-108,-5,1,0,0,0,1,F3#
-4,16,40,-16,-40,207,58,-108,-5,1,0,0,0,1,G3#
-2,16,40,-16,-40,207,29,-108,-5,1,0,0,0,1,A3#
1,16,40,-16,-40,207,-29,-108,-5,1,0,0,0,1,C4#
3,16,40,-16,-40,207,-58,-108,-5,1,0,0,0,1,D4#
6,16,40,-16,-40,207,-116,-108,-5,1,0,0,0,1,F4#
