timestamp,input_id,status,button_status,percent
timestamp,x,y,z
timestamp,LX,LY,RX,RY,LT,RT,DPAD_X,DPAD_Y,A,B,X,Y,LB,RB,LT,RT,BACK,START,LS,RS,UP,DOWN,LEFT,RIGHT
2024-08-16 13:01:37.298217,0.4950933837890625,0.6132124328613281,1.0
2024-08-16 13:01:37.322367,S1Y_+1,inactive,0,0.0
2024-08-16 13:01:37.322367,TL,inactive,0,0.0
2024-08-16 13:01:37.322367,TR,inactive,0,0.0
2024-08-16 13:01:37.322367,S1Y_-1,active,0,0.4103712533333334
2024-08-16 13:01:37.323503,0.0,-0.41037124395370483,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:37.329110,0.4970699691772461,0.6180145772298177,1.0
2024-08-16 13:01:37.354044,S1Y_+1,inactive,0,0.0
2024-08-16 13:01:37.354044,TL,inactive,0,0.0
2024-08-16 13:01:37.354044,TR,inactive,0,0.0
2024-08-16 13:01:37.354044,S1Y_-1,active,0,0.5141220533333334
2024-08-16 13:01:37.364318,0.49761383056640623,0.6202425130208333,1.0
2024-08-16 13:01:37.355031,0.0,-0.5141220688819885,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:37.380071,S1Y_+1,inactive,0,0.0
2024-08-16 13:01:37.380071,TL,inactive,0,0.0
2024-08-16 13:01:37.380071,TR,inactive,0,0.0
2024-08-16 13:01:37.380071,S1Y_-1,active,0,0.6021491900000001
2024-08-16 13:01:37.380905,0.0,-0.6021491885185242,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:37.404679,S1Y_+1,inactive,0,0.0
2024-08-16 13:01:37.404679,TL,inactive,0,0.0
2024-08-16 13:01:37.404679,TR,inactive,0,0.0
2024-08-16 13:01:37.404679,S1Y_-1,active,0,0.6836085500000001
2024-08-16 13:01:37.394519,0.4995572280883789,0.6174547831217448,1.0
2024-08-16 13:01:37.406024,0.0,-0.6836085319519043,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:37.442666,S1Y_+1,inactive,0,0.0
2024-08-16 13:01:37.442666,TL,inactive,0,0.0
2024-08-16 13:01:37.442666,TR,inactive,0,0.0
2024-08-16 13:01:37.442666,S1Y_-1,active,0,0.8107594866666668
2024-08-16 13:01:37.434337,0.49620861053466797,0.6176465352376302,1.0
2024-08-16 13:01:37.443591,0.0,-0.8107594847679138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:37.483370,S1Y_+1,inactive,0,0.0
2024-08-16 13:01:37.483370,TL,inactive,0,0.0
2024-08-16 13:01:37.483370,TR,inactive,0,0.0
2024-08-16 13:01:37.483370,S1Y_-1,active,0,0.9466722833333334
2024-08-16 13:01:37.465691,0.4949787139892578,0.6216823832194011,1.0
2024-08-16 13:01:37.484719,0.0,-0.946672260761261,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:37.506373,S1Y_+1,inactive,0,0.0
2024-08-16 13:01:37.506373,TL,inactive,0,0.0
2024-08-16 13:01:37.506373,TR,inactive,0,0.0
2024-08-16 13:01:37.506373,S1Y_-1,active,0,1.0
2024-08-16 13:01:37.497798,0.49477447509765626,0.6193310038248698,1.0
2024-08-16 13:01:37.507431,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:37.527876,0.4940268325805664,0.6202094014485677,1.0
2024-08-16 13:01:37.546043,S1Y_+1,inactive,0,0.0
2024-08-16 13:01:37.546043,TL,inactive,0,0.0
2024-08-16 13:01:37.546043,TR,inactive,0,0.0
2024-08-16 13:01:37.546043,S1Y_-1,active,0,1.0
2024-08-16 13:01:37.565068,0.4937599563598633,0.6134794108072916,1.0
2024-08-16 13:01:37.547177,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
