timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Sigmoid X+Y,Radial Complete,Conic
1779360815.295315174,1779360297.330193043,10,6,UpHybridRe,Bias,43.2609196313093,37.35837970572722,37.35837970572722,38.70180908945336,37.35837970572722,37.35837970572722,37.35837970572722,37.35837970572722
1779360821.695344461,1779360303.595441103,11,6,DownHybridRe,Bias,42.974580587428996,34.79253239938872,34.79253239938872,35.94897525897862,34.79253239938872,34.79253239938872,34.79253239938872,34.79253239938872
1779360833.769249161,1779360315.722328901,12,1,FartherHybridRe,Bias,30.388015971947347,17.519963767076323,17.519963767076323,17.519963767076323,17.519963767076323,17.519963767076323,17.519963767076323,17.519963767076323
1779360838.139928304,1779360320.086126089,13,3,UpHybridRe,Bias,18.837226632543903,17.80164281819663,17.80164281819663,17.80164281819663,17.80164281819663,17.80164281819663,17.80164281819663,17.80164281819663
1779360840.099842933,1779360321.977520943,14,4,DownHybridRe,Bias,26.318532224439178,22.820640702619386,22.820640702619386,22.820640702619386,22.820640702619386,22.820640702619386,22.820640702619386,22.820640702619386
1779360843.724418449,1779360325.736682892,15,4,LeftHybridRe,Bias,23.092837425517168,19.643022044140388,19.643022044140388,19.643022044140388,19.643022044140388,19.643022044140388,19.643022044140388,19.643022044140388
1779360844.558438090,1779360326.522305012,16,4,LeftHybridRe,Bias,21.483955287281777,20.225063265800348,20.225063265800348,20.225063265800348,20.225063265800348,20.225063265800348,20.225063265800348,20.225063265800348
1779360848.359274640,1779360330.325001001,17,5,CloserHybridRe,Bias,21.336239290145514,19.563393025178108,19.563393025178108,19.56765251139953,19.563393025178108,19.563393025178108,19.563393025178108,19.563393025178108
1779360858.546050838,1779360340.539884090,18,5,A,Bias,21.03627165191707,18.959365271762955,18.959365271762955,18.97049427991066,18.959365271762955,18.959365271762955,18.959365271762955,18.959365271762955
1779360889.875350080,1779360371.513293982,19,7,B,Radial Concentric,35.087684543957806,34.279533439439646,34.279533439439646,32.00452602923805,34.279533439439646,34.279533439439646,34.279533439439646,34.279533439439646
