timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Radial Complete,Conic
1779475345.204792525,1779474761.806530952,11,8,LeftHybridRe,Bias,8.508196975644344,7.794260036158685,7.794260036158685,7.707359219965184,7.794260036158685,7.794260036158685,7.794260036158685
1779475348.248168790,1779474765.144021034,12,9,B,Bias,9.205420535411365,8.965648901507837,8.965648901507837,8.697719639385388,8.965648901507837,8.965648901507837,8.965648901507837
1779475350.517354831,1779474767.301553011,13,9,A,Bias,9.056890811131932,8.404303756861747,8.404303756861747,7.887066896581922,8.404303756861747,8.404303756861747,8.404303756861747
1779475351.223939377,1779474767.907052994,14,9,A,Bias,9.056890811131932,8.404303756861747,8.404303756861747,7.887066896581922,8.404303756861747,8.404303756861747,8.404303756861747
1779475353.791781392,1779474770.704297066,15,10,DownHybridRe,Bias,10.53916744455928,9.684904598225518,9.684904598225518,9.388678777788293,9.684904598225518,9.684904598225518,9.684904598225518
1779475356.193517942,1779474773.051419020,16,10,A,Bias,10.799538366091758,9.984532611562118,9.984532611562118,9.68669703178888,9.984532611562118,9.984532611562118,9.984532611562118
1779475358.638008720,1779474775.529174089,17,10,UpHybridRe,Bias,10.760214261713328,9.526592657705615,9.526592657705615,9.181832025190218,9.526592657705615,9.526592657705615,9.526592657705615
1779475362.662632951,1779474779.482963085,18,10,RightHybridRe,Bias,10.541333284350454,9.432383301939435,9.432383301939435,9.130661511210905,9.432383301939435,9.432383301939435,9.432383301939435
1779475363.273907127,1779474780.108463049,19,10,RightHybridRe,Bias,10.541333284350454,9.432383301939435,9.432383301939435,9.130661511210905,9.432383301939435,9.432383301939435,9.432383301939435
1779475366.796661911,1779474783.626759052,20,10,CloserHybridRe,Bias,10.71121636699625,9.37597613916897,9.37597613916897,9.105578575265428,9.37597613916897,9.37597613916897,9.37597613916897
1779475368.859299422,1779474785.713191032,21,10,CloserHybridRe,Bias,10.66281387503305,9.279315355333358,9.279315355333358,9.003613931296256,9.279315355333358,9.279315355333358,9.279315355333358
1779475369.387377218,1779474786.318691015,22,10,CloserHybridRe,Bias,10.66281387503305,9.279315355333358,9.279315355333358,9.003613931296256,9.279315355333358,9.279315355333358,9.279315355333358
1779475371.406494016,1779474788.275538921,23,10,CloserHybridRe,Bias,10.599492344129201,9.20336937914039,9.20336937914039,8.92420836745369,9.20336937914039,9.20336937914039,9.20336937914039
1779475373.429495166,1779474790.337416887,24,11,DownHybridRe,Bias,10.389032723935081,8.93638784201122,8.93638784201122,8.2544067552137,8.93638784201122,8.93638784201122,8.93638784201122
1779475374.127123000,1779474791.018038988,25,11,DownHybridRe,Bias,10.389032723935081,8.93638784201122,8.93638784201122,8.2544067552137,8.93638784201122,8.93638784201122,8.93638784201122
1779475375.372465233,1779474792.269793987,26,11,LeftHybridRe,Bias,10.545201124393229,8.74735093276689,8.74735093276689,8.007956035846917,8.74735093276689,8.74735093276689,8.74735093276689
1779475379.555168269,1779474796.438335896,27,12,B,Bias,10.206126052301009,8.538305212237162,8.538305212237162,7.736264950192854,8.077317058941704,8.538305212237162,8.538305212237162
1779475382.416789688,1779474799.105703115,28,12,UpHybridRe,Bias,10.39396692647342,8.90355509908827,8.90355509908827,8.140137889997744,8.408802171606975,8.90355509908827,8.90355509908827
1779475384.562172307,1779474801.337682962,29,12,RightHybridRe,Bias,10.550389592945315,9.424070722407013,9.424070722407013,8.68753927309609,9.007915622872664,9.424070722407013,9.424070722407013
1779475390.236509365,1779474807.037955999,30,16,RightHybridRe,Radial Concentric,10.898564112007948,10.636682089333457,8.874838589766718,8.425766465696542,9.328489376868768,10.636682089333457,10.636682089333457
1779475391.855761903,1779474808.769578934,31,17,FartherHybridRe,Radial Concentric,10.572155989823354,10.299580465397174,8.670800186539822,8.185911046107032,9.092682822963363,10.299580465397174,10.299580465397174
1779475394.328322014,1779474811.226985931,32,17,FartherHybridRe,Radial Concentric,10.5967491687865,10.31188242701069,8.686217509088456,8.244760080322601,9.114676165321436,10.31188242701069,10.31188242701069
1779475397.019378614,1779474813.869684935,33,18,FartherHybridRe,Radial Concentric,10.38860405167205,10.032567502218374,8.538030431268325,8.236935901653428,8.996769214739338,10.032567502218374,10.032567502218374
1779475401.101777307,1779474817.992976904,34,19,RightHybridRe,Radial Concentric,10.110428981834303,9.80215732973547,8.288369366409277,8.010213639085787,8.726092995613124,9.80215732973547,9.80215732973547
1779475402.893258641,1779474819.704396963,35,20,B,Radial Concentric,10.067695790972191,9.851538238960245,7.781531652734717,7.8454519251747135,8.560511154210912,9.851538238960245,9.851538238960245
1779475406.056038605,1779474822.897972107,36,20,DownHybridRe,Radial Concentric,10.086882928342533,9.857220190951507,7.794322296556913,7.8578716765091325,8.585426213120115,9.857220190951507,9.857220190951507
1779475408.445716507,1779474825.370275021,37,20,A,Radial Concentric,10.259497860996262,10.013739951451463,8.187481921854548,8.305777575976412,8.89524124013664,10.013739951451463,10.013739951451463
1779475409.314383907,1779474826.321151972,38,20,A,Radial Concentric,10.259497860996262,10.013739951451463,8.187481921854548,8.305777575976412,8.89524124013664,10.013739951451463,10.013739951451463
1779475410.807451898,1779474827.656685114,39,20,A,Radial Concentric,10.37994295962034,10.12370940462159,8.459598022603604,8.620654785820877,9.111904597728245,10.12370940462159,10.12370940462159
1779475412.595279058,1779474829.513441086,40,20,UpHybridRe,Radial Concentric,10.377771830352442,10.109198679705932,8.461847579922084,8.620138837813146,9.089131588014528,10.109198679705932,10.109198679705932
1779475415.336426686,1779474832.101217031,41,20,LeftHybridRe,Radial Concentric,10.23141453715579,9.928768964984895,8.379735291039951,8.538453826539476,8.981109439657814,9.928768964984895,9.928768964984895
1779475416.809111912,1779474833.672364950,42,20,LeftHybridRe,Radial Concentric,10.119987299497028,9.959201213762375,8.484499800208054,8.599831222787465,9.082661266871636,9.959201213762375,9.959201213762375
1779475417.327223672,1779474834.212865114,43,20,LeftHybridRe,Radial Concentric,10.119987299497028,9.959201213762375,8.484499800208054,8.599831222787465,9.082661266871636,9.959201213762375,9.959201213762375
1779475418.410226802,1779474835.258743048,44,20,CloserHybridRe,Radial Concentric,10.120824054567498,9.964321343589042,8.494754829617,8.608272918654409,9.090673074610228,9.964321343589042,9.964321343589042
1779475420.161742650,1779474837.066128016,45,20,CloserHybridRe,Radial Concentric,10.07286794062059,9.916924516955273,8.491428060461342,8.598009815188226,9.075473044421523,9.916924516955273,9.916924516955273
1779475421.492786000,1779474838.332250118,46,20,CloserHybridRe,Radial Concentric,10.076035496689778,9.91530557853133,8.553415992701106,8.653656515716305,9.105566565231838,9.91530557853133,9.91530557853133
1779475423.157886264,1779474840.028153896,47,20,CloserHybridRe,Radial Concentric,10.118904414089414,9.907960936955062,8.588753682961336,8.705611708396415,9.091492812368015,9.907960936955062,9.907960936955062
1779475425.620105393,1779474842.475789070,48,20,CloserHybridRe,Radial Concentric,10.18846762088873,9.96117226201743,8.60071200389383,8.737657507018081,9.113363477082872,9.96117226201743,9.96117226201743
1779475426.145116502,1779474843.081289053,49,20,CloserHybridRe,Radial Concentric,10.18846762088873,9.96117226201743,8.60071200389383,8.737657507018081,9.113363477082872,9.96117226201743,9.96117226201743
1779475428.682948918,1779474845.538649082,50,20,CloserHybridRe,Radial Concentric,10.316763833946112,10.080500726635456,8.648682436569302,8.810228077857078,9.185006341916807,10.080500726635456,10.080500726635456
1779475430.761901708,1779474847.680649042,51,21,DownHybridRe,Radial Concentric,10.259184168327959,10.044290091133504,8.62612153620233,8.838211899467508,9.191001979500008,10.044290091133504,10.044290091133504
1779475431.585086382,1779474848.471664906,52,21,DownHybridRe,Radial Concentric,10.259184168327959,10.044290091133504,8.62612153620233,8.838211899467508,9.191001979500008,10.044290091133504,10.044290091133504
1779475432.882030378,1779474849.757786989,53,21,LeftHybridRe,Radial Concentric,10.25631015762849,10.04094830980165,8.61528399543739,8.831599459742677,9.186211141775928,10.04094830980165,10.04094830980165
1779475434.831945096,1779474851.708956003,54,21,RightHybridRe,Radial Concentric,10.692484731829715,10.38739786497084,8.835075510039887,9.120233483431392,9.409851716756291,10.38739786497084,10.38739786497084
1779475436.660064515,1779474853.585700989,55,21,DownHybridRe,Radial Concentric,11.019242531060089,10.576122291931705,8.651563521248965,9.12379161496196,9.451628503058021,10.576122291931705,10.576122291931705
1779475439.539630322,1779474856.418399096,56,21,LeftHybridRe,Radial Concentric,11.030276182240788,10.580678127435931,8.646464280565487,9.125294182648275,9.453203059414239,10.580678127435931,10.580678127435931
1779475442.724586119,1779474859.606899977,57,21,CloserHybridRe,Radial Concentric,11.04231185963803,10.591003562551936,8.640176249733411,9.119189793837055,9.451659479314248,10.591003562551936,10.591003562551936
1779475443.118420072,1779474860.052267075,58,21,CloserHybridRe,Radial Concentric,11.04231185963803,10.591003562551936,8.640176249733411,9.119189793837055,9.451659479314248,10.591003562551936,10.591003562551936
