timestamp,input_id,status,button_status,percent
timestamp,x,y,z
timestamp,LX,LY,RX,RY,LT,RT,DPAD_X,DPAD_Y,A,B,X,Y,LB,RB,LT,RT,BACK,START,LS,RS,UP,DOWN,LEFT,RIGHT
2024-08-07 17:49:57.441854,0.0,0.0,0.0,0.0,0.0,0.6927478909492493,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:57.458283,0.38228363037109375,0.698062744140625,1.0
2024-08-07 17:49:57.490294,0.3820382690429687,0.6989851379394532,1.0
2024-08-07 17:49:57.500098,S1Y_-1,inactive,0,0.11177922666666656
2024-08-07 17:49:57.500098,TR,active,0,0.8882207733333334
2024-08-07 17:49:57.502879,0.0,0.0,0.0,0.0,0.0,0.8882207870483398,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:57.527090,0.3823481750488281,0.7019458516438802,1.0
2024-08-07 17:49:57.553855,S1Y_-1,inactive,0,0.0
2024-08-07 17:49:57.553855,TR,active,0,1.0
2024-08-07 17:49:57.560467,0.3816046142578125,0.6954046122233073,1.0
2024-08-07 17:49:57.555619,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:57.584743,S1Y_-1,inactive,0,0.0
2024-08-07 17:49:57.584743,TR,active,0,1.0
2024-08-07 17:49:57.585544,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:57.605552,0.37851417541503907,0.6968387858072916,1.0
2024-08-07 17:49:57.623209,S1Y_-1,inactive,0,0.0
2024-08-07 17:49:57.623209,TR,active,0,1.0
2024-08-07 17:49:57.624199,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:57.649952,0.3803380584716797,0.6982753499348958,1.0
2024-08-07 17:49:57.663072,S1Y_-1,inactive,0,0.0
2024-08-07 17:49:57.663072,TR,active,0,1.0
2024-08-07 17:49:57.665090,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:57.688130,S1Y_-1,inactive,0,0.0
2024-08-07 17:49:57.688130,TR,active,0,1.0
2024-08-07 17:49:57.689141,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:57.699022,0.3824140167236328,0.69847412109375,1.0
2024-08-07 17:49:57.744491,S1Y_-1,inactive,0,0.0
2024-08-07 17:49:57.744491,TR,active,0,1.0
2024-08-07 17:49:57.749978,0.3805224609375,0.7012443542480469,1.0
2024-08-07 17:49:57.743544,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:57.782082,S1Y_-1,inactive,0,0.0
2024-08-07 17:49:57.782082,TR,active,0,1.0
2024-08-07 17:49:57.780613,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:57.812066,0.3794049072265625,0.6999730936686198,1.0
2024-08-07 17:49:57.816503,S1Y_-1,inactive,0,0.0
2024-08-07 17:49:57.816503,TR,active,0,1.0
2024-08-07 17:49:57.817809,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:57.852578,S1Y_-1,inactive,0,0.0
2024-08-07 17:49:57.852578,TR,active,0,1.0
2024-08-07 17:49:57.858094,0.3794404602050781,0.7114204406738281,1.0
2024-08-07 17:49:57.853244,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:57.885036,0.3828150177001953,0.7037018330891928,1.0
2024-08-07 17:49:57.901789,S1Y_-1,inactive,0,0.0
2024-08-07 17:49:57.901789,TR,active,0,1.0
2024-08-07 17:49:57.903199,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:57.934624,S1Y_-1,inactive,0,0.0
