timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Radial Complete,Conic
1779474455.901142984,1779473872.811249971,23,12,CloserHybridRe,Radial Concentric,138.1720036295337,142.27437778135217,142.27437778135217,152.39347153562287,141.7222680306922,142.27437778135217,142.27437778135217
1779474457.459541220,1779473874.347738981,24,13,DownHybridRe,Radial Concentric,8.513719095823216,3.5733085178184325,3.5733085178184325,3.2185281246327744,3.485135632616323,3.5733085178184325,3.5733085178184325
1779474458.230052645,1779473875.118371964,25,13,DownHybridRe,Radial Concentric,63.60410703692665,65.6898143623761,65.6898143623761,76.50341718219602,65.64283833527104,65.6898143623761,65.6898143623761
1779474460.939996215,1779473877.815484047,26,13,FartherHybridRe,Radial Concentric,17.95685701538329,11.418018735034687,11.418018735034687,11.612909820302368,11.322538648216621,11.418018735034687,11.418018735034687
1779474462.736111835,1779473879.632219076,27,13,LeftHybridRe,Radial Concentric,14.09712197136555,7.18556860958433,7.18556860958433,4.693293317304817,7.234478623714588,7.18556860958433,7.18556860958433
1779474466.173596287,1779473883.050736904,28,14,B,Radial Concentric,12.872476869670214,15.241221455683432,15.241221455683432,6.656332428318408,15.67880933628813,15.241221455683432,15.241221455683432
1779474468.834762572,1779473885.682601929,29,14,UpHybridRe,Radial Concentric,9.822245881699988,3.9913453312247964,3.9913453312247964,3.1407471772273388,3.8179654283603033,3.9913453312247964,3.9913453312247964
1779474476.526272076,1779473893.310482025,30,17,RightHybridRe,Radial Concentric,10.672615331806988,13.307717960805563,13.307717960805563,10.425287422252042,11.991607086040306,13.307717960805563,13.307717960805563
1779474479.952114404,1779473896.858628988,31,18,FartherHybridRe,Radial Concentric,11.416244606548188,12.61043313842421,7.337058348516251,11.394428551889275,9.623794467081822,12.61043313842421,12.61043313842421
1779474480.767457379,1779473897.479129076,32,18,FartherHybridRe,Radial Concentric,10.234917266818181,11.739359161690205,5.543931534264091,8.563657149638152,8.273386152713718,11.739359161690205,11.739359161690205
1779474484.499190232,1779473901.322145939,33,19,FartherHybridRe,Radial Concentric,7.458970319251086,10.09160365142314,4.212282540351712,6.497597620246516,7.119203265317071,10.09160365142314,10.09160365142314
1779474486.903871999,1779473903.804312944,34,19,LeftHybridRe,Radial Concentric,8.082121514126186,6.565883645452936,4.5670354666465105,7.311361795295161,4.773608128891297,6.565883645452936,6.565883645452936
1779474489.293093015,1779473906.206712961,35,19,DownHybridRe,Radial Concentric,12.740411937584463,10.392150965065742,8.598931158632851,9.600365015564105,8.993586803365064,10.392150965065742,10.392150965065742
1779474490.674676395,1779473907.587956905,36,19,DownHybridRe,Radial Concentric,15.06355869226834,12.95313571852466,10.363937512622089,10.60491338318421,11.399211376581176,12.95313571852466,12.95313571852466
1779474491.634030205,1779473908.539266109,37,19,DownHybridRe,Radial Concentric,35.85629936030942,40.76230075507578,40.38596910121102,44.140564647046546,40.44764630510477,40.76230075507578,40.76230075507578
1779474495.894955320,1779473912.767415047,38,19,CloserHybridRe,Radial Concentric,16.034011687053027,16.73679163424928,14.726593918891247,14.336752762628565,14.945455950627029,16.73679163424928,16.73679163424928
1779474498.367323814,1779473915.230267048,39,19,A,Radial Concentric,6.825753175789216,5.937050115258736,8.340927095724513,9.033280539245256,6.9732926606921675,5.937050115258736,5.937050115258736
1779474500.112134225,1779473916.891889095,40,19,UpHybridRe,Radial Concentric,11.961712718350148,13.456619846187682,10.299240885240025,9.537142337166115,11.61699592014381,13.456619846187682,13.456619846187682
1779474502.951342973,1779473919.568666935,41,19,FartherHybridRe,Radial Concentric,7.10343085051753,7.7969345754312815,5.913649765531504,4.83128335214737,6.872794663963438,7.7969345754312815,7.7969345754312815
1779474507.494190252,1779473924.163448095,42,19,CloserHybridRe,Radial Concentric,9.384009412196784,10.771596591312404,8.086724791326285,7.069777157167104,8.424913175182649,10.771596591312404,10.771596591312404
1779474509.618741444,1779473926.495570898,43,19,UpHybridRe,Radial Concentric,17.689931914585262,15.740205215308661,18.65991143590473,18.140599994946438,17.27815083875393,15.740205215308661,15.740205215308661
1779474510.170770138,1779473927.081490993,44,19,UpHybridRe,Radial Concentric,26.286749504407947,24.82246383379148,27.994708604453493,27.6770707106163,27.0022337059995,24.82246383379148,24.82246383379148
1779474512.986279578,1779473929.683682919,45,19,UpHybridRe,Radial Concentric,18.569436203453442,13.756427287809492,20.93388867635842,20.80401678365364,18.03133640077765,13.756427287809492,13.756427287809492
1779474678.845011390,1779474095.706861973,46,9,UpHybridRe,Radial Concentric,22.498076871859965,22.498076871859965,22.498076871859965,22.498076871859965,22.498076871859965,22.498076871859965,22.498076871859965
1779474740.557795162,1779474157.443877935,47,14,LeftHybridRe,Radial Concentric,21.309724258559708,21.309724258559708,21.309724258559708,21.309724258559708,21.309724258559708,21.309724258559708,21.309724258559708
1779474744.022776315,1779474160.896979094,48,25,LeftHybridRe,Radial Concentric,13.557388094901201,19.854871756737893,16.297713200523727,12.838269717710808,17.162635608715945,19.854871756737893,19.854871756737893
1779474745.473261957,1779474162.273235083,49,30,LeftHybridRe,Radial Concentric,20.83273334371333,12.352225925513489,9.712638920422956,9.555589229679482,10.921471896727544,10.581333837489735,12.352225925513489
